src,dst,weight
Abigail Stuart,Derek Goodwin,1.0
Abigail Stuart,Duane Lyons,1.0
Abigail Stuart,Dwayne Graham,1.0
Abigail Stuart,Ian Gonzalez,1.0
Abigail Stuart,Judy Ross,1.0
Abigail Stuart,Matthew Wright,1.0
Abigail Stuart,Megan Buchanan,1.0
Abigail Stuart,Savannah Barker,1.0
Adrienne Lopez,Amy Poole,1.0
Adrienne Lopez,Daniel Miller,1.0
Adrienne Lopez,Derek Goodwin,1.0
Adrienne Lopez,Dwayne Graham,2.0
Adrienne Lopez,James Gillespie,1.0
Adrienne Lopez,Matthew Wright,1.0
Adrienne Lopez,Megan Shaw,3.0
Adrienne Lopez,Robert Hines,1.0
Adrienne Lopez,Robert Love,1.0
Adrienne Lopez,Samuel Anderson,1.0
Adrienne Lopez,Sarah Morse,2.0
Adrienne Lopez,Savannah Barker,1.0
Alexander Miller,Amanda Paul,4.0
Alexander Miller,Christopher Mcdonald,4.0
Alexander Miller,Daniel Wright,1.0
Alexander Miller,James Padilla,3.0
Alexander Miller,James Robles,4.0
Alexander Miller,Jennifer Daniels,4.0
Alexander Miller,Jennifer Davidson,4.0
Alexander Miller,Jerry Walters,1.0
Alexander Miller,Jill Castro,7.0
Alexander Miller,Kim Lee,4.0
Alexander Miller,Kimberly Skinner,1.0
Alexander Miller,Lindsey Fisher,2.0
Alexander Miller,Natalie Davis,1.0
Alexander Miller,Olivia Nelson,4.0
Alexander Miller,Rachael Abbott,3.0
Alexander Miller,Richard Atkinson,4.0
Alexander Miller,Seth Daniel,4.0
Alexander Miller,Sharon Nelson,1.0
Alexander Miller,William Webb,2.0
Alison Dixon,Daniel Miller,1.0
Alison Dixon,Erica Franklin,1.0
Alison Dixon,Gary Lloyd,4.0
Alison Dixon,George Rivera,4.0
Alison Dixon,Joseph Armstrong,1.0
Alison Dixon,Marie Franklin,1.0
Alison Dixon,Megan Buchanan,1.0
Alison Dixon,Megan Shelton,1.0
Alison Dixon,Michelle Turner,1.0
Alison Dixon,Rebecca Harris,4.0
Alison Dixon,Richard Diaz,4.0
Alison Dixon,Ryan Turner,1.0
Alison Dixon,Sarah Morse,1.0
Alison Dixon,Tracy Miller,4.0
Amanda Paul,Ian Rose,8.0
Amanda Paul,Jennifer Davidson,4.0
Amanda Paul,Kim Lee,1.0
Amanda Paul,Olivia Nelson,1.0
Amanda Paul,Richard Atkinson,4.0
Amanda Paul,Seth Daniel,2.0
Amy King,Daniel Wright,1.0
Amy King,Eugene Lester,4.0
Amy King,Kim Lee,1.0
Amy King,Nancy Hughes,2.0
Amy King,Rachael Abbott,1.0
Amy King,Savannah Barker,1.0
Amy King,Zachary Wagner,1.0
Amy Poole,Christine Michael,1.0
Amy Poole,Dwayne Graham,1.0
Amy Poole,Jill Castro,2.0
Amy Poole,Kathy Rice,1.0
Amy Poole,Kayla Krueger,1.0
Amy Poole,Robert Hines,1.0
Amy Poole,Robert Love,1.0
Antonio Craig,Daniel Wright,3.0
Antonio Craig,Duane Lyons,1.0
Antonio Craig,Mary Lynch,3.0
Antonio Craig,Matthew Wright,1.0
Antonio Craig,Meagan Johnson,1.0
Antonio Craig,Michelle Turner,4.0
Antonio Craig,Paul Davis,1.0
Antonio Craig,Rick Jordan,1.0
Antonio Craig,Wesley Atkins,2.0
Antonio Craig,Wesley Davenport,1.0
Bradley Rogers,Kim Lee,1.0
Bradley Rogers,Monica Simpson,1.0
Bradley Rogers,Nancy Hughes,2.0
Bradley Rogers,Natalie Davis,3.0
Bradley Rogers,Sarah Knight,4.0
Bradley Rogers,Victoria Miller,3.0
Brenda Anderson,Chelsey Graham DVM,1.0
Brenda Anderson,Christine Michael,1.0
Brenda Anderson,David Anderson,3.0
Brenda Anderson,Derek Goodwin,1.0
Brenda Anderson,Kathy Rice,1.0
Brenda Anderson,Kayla Krueger,1.0
Brenda Anderson,Lindsey Fisher,1.0
Brenda Anderson,Maria Ochoa,1.0
Brenda Anderson,Nancy Hughes,2.0
Brenda Anderson,Roger Miller,4.0
Brenda Anderson,Samantha Foley,1.0
Brooke Hughes,Cristina Schaefer,2.0
Brooke Hughes,Daniel Miller,2.0
Brooke Hughes,Daniel Trujillo,2.0
Brooke Hughes,Derek Goodwin,2.0
Brooke Hughes,Eric Wiley,1.0
Brooke Hughes,Joseph Armstrong,2.0
Brooke Hughes,Kayla Krueger,1.0
Brooke Hughes,Rebecca Harris,1.0
Brooke Hughes,Richard Diaz,1.0
Brooke Hughes,Scott Chen,1.0
Brooke Hughes,Stacey Rodriguez,2.0
Caleb Irwin,Erica Benton,2.0
Caleb Irwin,Jennifer Daniels,1.0
Caleb Irwin,Megan Shaw,2.0
Caleb Irwin,Mrs. Amanda Dennis,1.0
Caleb Irwin,Richard Diaz,1.0
Caleb Irwin,Ryan Turner,2.0
Caleb Irwin,Stephanie Roberts,1.0
Cassandra George,David Anderson,1.0
Cassandra George,Eric Martin,1.0
Cassandra George,Ian Rose,1.0
Cassandra George,Jennifer Baker,2.0
Cassandra George,Jennifer Davidson,2.0
Cassandra George,Matthew Wright,8.0
Cassandra George,Ms. Sharon Sanders,1.0
Cassandra George,Savannah Barker,1.0
Cassandra George,Vincent Tran,2.0
Chad Neal,Christopher Mcdonald,2.0
